name,type,country
"A' Chill",Hamlet,Scotland
"A' Chrìon Làraich",Village,Scotland
"A' Glas Pheighinn","Suburban Area",Scotland
"A' Mhointeach",Hamlet,Scotland
"A' Phairce Dhubh","Suburban Area",Scotland
"Aaron's Hill","Suburban Area",England
"Ab Kettleby",Village,England
"Ab Lench",Hamlet,England
"Abaty Cwm-hir",Hamlet,Wales
"Abbas Combe",Village,England
Abberley,Village,England
Abberton,Hamlet,England
Abberton,Village,England
Abberwick,"Other Settlement",England
"Abbess Roding",Village,England
Abbey,Hamlet,England
"Abbey Dore",Village,England
"Abbey End","Suburban Area",England
"Abbey Fields","Suburban Area",England
"Abbey Green",Hamlet,England
"Abbey Green",Hamlet,England
"Abbey Hulton","Suburban Area",England
"Abbey Meads","Suburban Area",England
"Abbey Parks","Suburban Area",Scotland
"Abbey St Bathans",Hamlet,Scotland
"Abbey Village",Village,England
"Abbey Wood","Suburban Area",England
Abbeydale,"Suburban Area",England
Abbeydale,"Suburban Area",England
Abbeydale,"Suburban Area",England
"Abbeydale Park","Suburban Area",England
Abbeyhill,"Suburban Area",Scotland
Abbeystead,Hamlet,England
Abbeytown,Village,England
"Abbot's Mead","Suburban Area",England
"Abbot's Salford",Village,England
Abbotrule,"Other Settlement",Scotland
"Abbots Bickington",Hamlet,England
"Abbots Bromley",Village,England
"Abbots Langley",Village,England
"Abbots Leigh",Village,England
"Abbots Morton",Village,England
"Abbots Ripton",Village,England
"Abbots Worthy",Village,England
Abbotsbury,"Suburban Area",England
Abbotsbury,Village,England
Abbotsford,Hamlet,England
Abbotsham,Village,England
Abbotside,"Other Settlement",England
Abbotskerswell,Village,England
Abbotsley,Village,England
Abbotsmead,"Suburban Area",England
Abbotstone,Hamlet,England
Abbotswood,Hamlet,England
Abbotswood,Village,England
Abbotswood,"Suburban Area",England
"Abbotts Ann",Village,England
"Abbotts Barton","Suburban Area",England
Abcott,Hamlet,England
Abdon,Hamlet,England
Abenhall,"Other Settlement",England
Aber,Hamlet,Wales
Aber,Hamlet,Wales
"Aber Eiddy",Hamlet,Wales
"Aber Pwll","Suburban Area",Wales
"Aber Rhaeadr",Hamlet,Wales
Aber-Arad,"Suburban Area",Wales
Aber-Clydach,"Suburban Area",Wales
Aber-Cywarch,Hamlet,Wales
"Aber-Giâr",Hamlet,Wales
Aber-Tafol,Hamlet,Wales
Aber-banc,Village,Wales
Aber-miwl,Village,Wales
Aber-nant,"Suburban Area",Wales
Aber-oer,Hamlet,Wales
Aberaeron,Town,Wales
Aberaman,"Suburban Area",Wales
Aberangell,Village,Wales
Aberargie,Village,Scotland
Aberarth,Village,Wales
Aberavon,"Suburban Area",Wales
Aberbargod,Village,Wales
Aberbechan,Hamlet,Wales
Aberbeeg,Village,Wales
Aberbran,Hamlet,Wales
Abercanaid,Village,Wales
Abercarn,Town,Wales
Abercastle,Hamlet,Wales
Abercegir,Village,Wales
Aberchalder,Hamlet,Scotland
Aberchirder,Town,Scotland
Aberchwiler,Village,Wales
Abercorn,Hamlet,Scotland
Abercrave,Village,Wales
Abercregan,Village,Wales
Abercrombie,Hamlet,Scotland
Abercwmboi,"Suburban Area",Wales
Abercych,Village,Wales
Abercynon,Town,Wales
